6     1.0561    35.1155       4        2.8333   13.3722
7     2.1835    35.1196       5        3.3943   13.3797
12     3.17    35.123       8        3.9033   13.3825
13     3.7391    35.0931       9        4.2837   13.3661
14     4.3024    35.0843       9        4.9026   13.3574
15     5.2678    35.1113       11        6.0209   13.3788
18     6.2607    35.091       13        6.4795   13.367
21     7.4271    35.1052       15        7.2672   13.3723
22     7.8756    35.0997       16        8.2678   13.3696
21     9.198    35.1033       14        9.0829   13.3698
24     9.8155    35.1064       17        10.1611   13.3762
29     11.8068    35.0898       21        11.6875   13.3695
28     12.3362    35.1165       20        12.4412   13.3792
29     12.8728    35.1276       20        12.8591   13.3748
32     13.4608    35.0916       22        13.0842   13.3609
29     14.9584    35.1145       18        13.162   13.3735
