# bits = 1:2:12
   0.19475   0.17075   0.16513   0.16314   0.16431   0.16235
   0.15564   0.15210   0.14366   0.14297   0.14293   0.14354
   0.13392   0.13073   0.11938   0.11904   0.11843   0.12063
   0.11421   0.09681   0.09301   0.09338   0.09214   0.09340
   0.17178   0.07316   0.06630   0.06463   0.06606   0.06488
   0.07011   0.04181   0.03988   0.03900   0.03935   0.03945
   0.23656   0.03104   0.01975   0.01850   0.01842   0.01836
   0.09861   0.01819   0.00635   0.00641   0.00625   0.00611
   0.06707   0.00427   0.00166   0.00114   0.00111   0.00122
   0.00063   0.00392   0.00013   0.00009   0.00013   0.00011
   0.01073   0.00001   0.00000   0.00000   0.00000   0.00000
